,Country Name,Male Height in Cm,Female Height in Cm
0,Afghanistan,168.5,156.11
1,Albania,174.07,162.23
2,Algeria,175.04,162.35
3,American Samoa,177.09,167.55
4,Andorra,178.84,165.53
5,Angola,168.46,158.1
6,Antigua and Barbuda,178.84,165.72
7,Argentina,174.76,161.22
8,Armenia,173.67,159.85
9,Australia,178.77,164.67
10,Austria,178.52,166.93
11,Azerbaijan,174.0,161.37
12,Bahamas,174.4,163.46
13,Bahrain,172.76,158.29
14,Bangladesh,165.08,152.38
15,Barbados,177.03,165.66
16,Belarus,178.69,166.93
17,Belgium,179.09,163.4
18,Belize,170.52,158.12
19,Benin,168.44,158.4
20,Bermuda,179.72,166.11
21,Bhutan,167.05,155.15
22,Bolivia,168.1,155.58
23,Bosnia and Herzegovina,182.47,167.47
24,Botswana,173.16,162.06
25,Brazil,175.73,162.41
26,Brunei,166.31,154.9
27,Bulgaria,174.17,164.58
28,Burkina Faso,171.89,161.33
29,Burundi,167.34,155.08
30,Cambodia,165.35,154.75
31,Cameroon,172.13,160.41
32,Canada,178.75,164.73
33,Central African Republic,169.01,159.65
34,Chad,171.84,162.12
35,Chile,172.88,159.42
36,China,175.66,163.46
37,Colombia,171.85,157.96
38,Comoros,167.72,156.54
39,Cook Islands,178.32,167.31
40,Costa Rica,174.04,160.36
41,Croatia,180.76,166.8
42,Cuba,173.56,160.13
43,Cyprus,172.75,160.55
44,Czech Republic,181.19,167.96
45,DR Congo,168.6,156.3
46,Denmark,181.89,169.47
47,Djibouti,170.77,159.82
48,Dominica,180.15,166.89
49,Dominican Republic,174.65,161.21
50,Ecuador,167.32,155.25
51,Egypt,174.57,160.88
52,El Salvador,170.67,156.39
53,Equatorial Guinea,168.18,158.05
54,Eritrea,170.6,157.58
55,Estonia,182.79,168.66
56,Eswatini,169.41,158.92
57,Ethiopia,168.84,157.15
58,Fiji,173.98,164.28
59,Finland,180.57,166.48
60,France,178.6,164.49
61,French Polynesia,178.32,166.52
62,Gabon,170.48,160.05
63,Gambia,168.36,161.73
64,Georgia,175.98,163.24
65,Germany,180.28,166.18
66,Ghana,170.3,158.86
67,Greece,179.26,165.81
68,Greenland,173.84,161.4
69,Grenada,178.7,165.99
70,Guatemala,164.36,150.91
71,Guinea,170.7,158.75
72,Guinea-Bissau,168.17,158.72
73,Guyana,172.15,159.57
74,Haiti,172.23,160.58
75,Honduras,169.59,155.18
76,Hong Kong,174.83,160.62
77,Hungary,176.59,162.55
78,Iceland,182.1,168.91
79,India,166.5,155.18
80,Indonesia,166.26,154.36
81,Iran,175.62,161.18
82,Iraq,173.79,158.75
83,Ireland,179.04,164.5
84,Israel,175.98,162.22
85,Italy,174.42,161.81
86,Ivory Coast,168.23,158.65
87,Jamaica,176.97,164.32
88,Japan,172.06,158.5
89,Jordan,174.84,159.46
90,Kazakhstan,175.5,161.74
91,Kenya,170.46,159.43
92,Kiribati,170.09,161.04
93,Kuwait,174.96,160.1
94,Kyrgyzstan,171.66,160.2
95,Laos,162.78,153.1
96,Latvia,181.17,168.81
97,Lebanon,178.96,163.67
98,Lesotho,167.92,156.72
99,Liberia,165.48,156.54
100,Libya,176.39,162.56
101,Lithuania,180.72,167.63
102,Luxembourg,178.46,165.07
103,Madagascar,165.16,153.06
104,Malawi,165.68,156.14
105,Malaysia,169.2,157.06
106,Maldives,167.87,154.28
107,Mali,175.02,161.99
108,Malta,174.38,162.95
109,Marshall Islands,165.26,154.76
110,Mauritania,165.54,160.06
111,Mauritius,173.01,158.94
112,Mexico,170.29,157.9
113,Micronesia,169.57,159.66
114,Moldova,175.59,162.96
115,Mongolia,170.67,159.89
116,Montenegro,183.3,169.96
117,Morocco,176.35,161.18
118,Mozambique,164.3,155.42
119,Myanmar,166.7,154.71
120,Namibia,169.75,160.26
121,Nauru,169.57,157.82
122,Nepal,164.36,152.39
123,Netherlands,183.78,170.36
124,New Zealand,177.72,164.66
125,Nicaragua,169.91,155.62
126,Niger,170.26,159.81
127,Nigeria,171.55,158.14
128,Niue,177.19,167.03
129,North Korea,174.69,161.22
130,North Macedonia,176.43,160.88
131,Norway,180.48,166.45
132,Oman,171.7,158.44
133,Pakistan,167.33,154.77
134,Palau,170.62,159.52
135,Palestine,175.05,161.28
136,Panama,170.19,158.19
137,Papua New Guinea,163.1,156.89
138,Paraguay,173.81,159.76
139,Peru,166.75,154.39
140,Philippines,165.23,154.14
141,Poland,180.69,165.78
142,Portugal,174.37,161.23
143,Puerto Rico,179.48,163.06
144,Qatar,173.27,160.72
145,Republic of the Congo,171.23,158.78
146,Romania,177.82,164.73
147,Russia,176.65,164.52
148,Rwanda,166.02,156.72
149,Saint Kitts and Nevis,173.71,162.78
150,Saint Lucia,176.43,165.52
151,Saint Vincent and the Grenadines,177.49,165.3
152,Samoa,174.42,163.82
153,Sao Tome and Principe,170.37,159.81
154,Saudi Arabia,170.67,158.84
155,Senegal,176.18,163.92
156,Serbia,180.74,168.29
157,Seychelles,175.9,162.47
158,Sierra Leone,166.43,157.34
159,Singapore,173.5,161.3
160,Slovakia,181.02,167.12
161,Slovenia,180.98,167.2
162,Solomon Islands,163.07,156.79
163,Somalia,171.22,159.86
164,South Africa,169.63,158.58
165,South Korea,175.52,163.23
166,Spain,176.11,162.03
167,Sri Lanka,168.07,155.88
168,Sudan,172.07,160.36
169,Suriname,174.51,162.26
170,Sweden,180.46,166.67
171,Switzerland,178.73,164.33
172,Syria,171.64,159.38
173,Taiwan,173.53,160.7
174,Tajikistan,168.43,158.12
175,Tanzania,166.98,156.89
176,Thailand,171.61,159.42
177,Timor-Leste,160.13,152.71
178,Togo,170.14,159.13
179,Tokelau,176.06,166.08
180,Tonga,175.11,166.08
181,Trinidad and Tobago,176.03,163.38
182,Tunisia,176.85,161.69
183,Turkey,176.36,161.8
184,Turkmenistan,174.37,162.83
185,Tuvalu,171.3,163.57
186,Uganda,168.74,158.53
187,Ukraine,180.98,166.62
188,United Arab Emirates,174.08,160.53
189,United Kingdom,178.21,163.94
190,United States,176.94,163.31
191,Uruguay,174.32,161.56
192,Uzbekistan,170.94,160.29
193,Vanuatu,168.29,160.48
194,Venezuela,173.53,160.04
195,Vietnam,168.89,158.43
196,Yemen,164.42,154.76
197,Zambia,167.62,157.32
198,Zimbabwe,170.69,159.85
